start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,La información que compartas en este instrumento es anónima y sólo será usada para fines investigativos.,NOMBRE DEL CENTRO EDUCATIVO,"1. Narra una historia relacionada con una situación significativa para ti (positiva, negativa, interesante o mixta), que hayas vivido o que estés viviendo como agente educativo en el centro infantil. ",Ponle un hashtag (#) o un título a tu historia:,La historia que contaste te genera,¿Con qué frecuencia sucede la situación que narraste en la historia? ,"En general, mi experiencia se relaciona con...","En general, mi experiencia se relaciona con.../La comunidad y las relaciones.","En general, mi experiencia se relaciona con.../La filosofía de la institución.","En general, mi experiencia se relaciona con.../Aprendizaje y crecimiento.","En general, mi experiencia se relaciona con.../Los problemas como oportunidades.","En general, mi experiencia se relaciona con.../Premios y reconocimiento.","En general, mi experiencia se relaciona con.../Autonomía y soporte.","En general, mi experiencia se relaciona con.../Desarrollo general del estudiante.","En general, mi experiencia se relaciona con.../Crecimiento personal y logros.","En general, mi experiencia se relaciona con.../Otro",¿Cuál es el actor principal de tu historia?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál","Mientras escribías la historia, sentiste que","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades manuales: tejer, sembrar, cocinar.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Ninguna de las anteriores","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución ","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Trabajo Colaborativo.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Sostenibilidad.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Pensamiento Crítico.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Resolución de problemas.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Manejo de herramientas tecnológicas.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Manejo de la Información y Comunicación.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Creatividad e Innovación.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Vida y Carrera.","De acuerdo con la historia que constaste, cuál fue tu rol como agente educativo ",_id,_uuid,_submission_time,_validation_status,_index,tipo,grupo,jornada
2020-09-15T10:07:53.237-05:00,2020-09-15T10:26:08.185-05:00,2020-09-14,Sí,2020-09-15,Antioquia,,No aplica,"estos 5 meses han sido muy interesantes porque pase de ser la psico a ser la coordinadora, con este cambio he aprendido del autocontrol, yo era una persona muy explosiva y acelerada, en este cargo aprendi que no debo ser asi.",El Desafió de Cambiar para ser cada dia mejor persona.,Orgullo,Todo el tiempo,Crecimiento personal y logros.,0,0,0,0,0,0,0,1,0,Otro,Tiene que ver tanto con los demas sino con migo misma y como afronto las situaciones de la vida,Reflexioné y aprendí algo nuevo,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Vida y Carrera.,0,0,0,0,0,0,0,1,"Fortalecerme como agente educativo para alcanzar mis proyectos personales, familiares y profesionales.",122561972,4b636cee-c30e-4334-8a88-6ce5d5e382a2,2020-09-15T15:26:09,,1,FEMSA,2,am
2020-09-15T08:22:43.557-05:00,2020-09-15T08:35:48.516-05:00,2020-09-14,Sí,2020-09-15,Antioquia,,Coomulsap,"por cuestiones de pandemia covid19, es muy complicado y complejo entender que muchas familias pasan necesidades economica, sociales y emocionales;  esto a su vez repercute en el desarrollo infantil de los niños, niñas  y sus familias que reciben el impacto economico y alimentario en los hogares , a su vez muchos padres por esta enferdedad de salud publica peresentan cuadro depresivos y de inestabilidad emocional frente a la familia, esa experiencia a marcado fuertemente en saber que las familias ""se pierden en el dolor cuando un evento de esto toca a la comunidad, la sociedad y la familia.",# sintiendo el miedo en la piel del Otro,Impotencia ,De vez en cuando,La comunidad y las relaciones.,1,0,0,0,0,0,0,0,0,Familias y otras personas significativas,no aplica,Reflexioné y aprendí algo nuevo,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Resolución de problemas.,0,0,0,1,0,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,122530021,8afdad4d-23f6-4efd-bdff-b2c5b62d737b,2020-09-15T13:35:51,,2,FEMSA,2,am
2020-09-11T13:03:16.270+02:00,2020-09-11T13:48:56.249+02:00,2020-09-11,Sí,2020-09-11,Atlántico,,AA,JQJENI,#CONTENTA,Alegría,De vez en cuando,Autonomía y soporte.,0,0,0,0,0,1,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Pensamiento Crítico.,0,0,1,0,0,0,0,0,Potenciar el desarrollo de los niños y las niñas.,121547749,5a33b073-dd4a-481b-bbf3-2a94098fcd48,2020-09-11T11:48:46,,3,FEMSA,2,am
2020-09-11T15:23:17.052-05:00,2020-09-11T15:28:54.325-05:00,2020-09-10,Sí,2020-09-11,Antioquia,,Coomulsap,"Este año de tantos cambios, he aprendido a través de mi primera experiencia en el programa y en la modalidad familiar, la importancia de agradecer de valorar el amor por los nuestros, de ver la vida de manera más sencilla y des complicarse de las cosas materiales que en tiempos de crisis lo fundamental es la humanidad y ver al otro desde su ser no desde el tener.",#SER,Motivación,De vez en cuando,Aprendizaje y crecimiento.,0,0,1,0,0,0,0,0,0,Familias y otras personas significativas,,Reflexioné y aprendí algo nuevo,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Resolución de problemas.,0,0,0,1,0,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,121626327,643541a8-4134-40fd-8164-db2b0a3cb12b,2020-09-11T20:28:57,,4,FEMSA,2,am
2020-09-11T16:19:15.158-05:00,2020-09-11T16:22:12.153-05:00,2020-09-10,Sí,2020-09-11,Antioquia,,Buen comienzo Antioquia,Asesoro a los diferentes municipios en l implementación de las modalidades de Atencion en Primera infancia,#contruccioncolectiva,Motivación,Todo el tiempo,La comunidad y las relaciones. Crecimiento personal y logros.,1,0,0,0,0,0,0,1,0,Agentes educativos,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo. Pensamiento Crítico. Manejo de la Información y Comunicación.,1,0,1,0,0,1,0,0,Dar cumplimiento a los criterios de calidad de la educación inicial en el marco de la atención integral.,121631597,3fc702ca-12e6-453b-850b-d38e10cd8f55,2020-09-11T21:22:14,,5,FEMSA,2,am
2020-09-11T16:02:23.664-05:00,2020-09-11T16:47:11.693-05:00,2020-09-10,Sí,2020-09-11,Antioquia,,Gerencia Infancia Adolescencia y Juventud,"en el año 2015 en el hogar infantil donde trabajaba como jardinera  de preescolar en ese año, me dieron el rol de coordinadora pedagógica, dicho rol consistia en asistir a las reuniones mensuales de pedeagogia en la sede principla y replicar a los compañeros lo informado en la reunión, estar atenta a las necesidades pedagógicas de los compañeros, ese año la drectora del hogar infantil en su inmensa inteligencia , de admirar dirigia el hogar infantil, fomentando division en el grupo de trabajo dado que si no se estaba de acuerdo a su metodologia, trataba de generar mal ambiente valiendose del personal que manipulaba, igual vendia mecato a los niños y niñas, algo que era prohibido y eso no era tanto el problema sino que, si llevaban 50 pesos, hacia comentarios feos de lo poco del dinero, a un compañero docente como no seguia su manera de pensar, en compñia del grupo que acolitaba en todo levanto falsos a este para hecerle perder el puesto, inventandole hasta que tocaba las niñas, en ese entonce debia hacerse la evaluacion de ella como direectora y con el apoyo del grupo interdisciplinario de ese momento, se le hizo en la evalución en la que se reporto el tipo de maltarto que estaba ejeriendo al personal, de este modo llego a los altos rangos y direetivos esta problematica que enfrente siempre con la verdad y con la astucia que ella tenia pense que lograria sacarme de mi trabajo por enfreentarla, y ella con muchas artimñanas porque reintero una mujer muy inteligente que si lo usara par el bien seria una maravilla y yo solo con laverdad y mi corta experincia laboral enfrente el problema en cada una de las citaciones y reuniones que nos hciieron salir avante demostrrando que lo que se habia dicho en el evaluacion era cierto y como era la lider de pedagogia me corresspondio hacerle frente. fueron dias agotadores en los que no queria ir a trabajar, pero pude enfrentar la situacion siempre transparentemente y no sabia que yo era tan obtinada y frentera y luchadora por el bien mio y el de los demas, porque pensaba que lo que le hacia al compñero no era para nada correcto y que a alguien mas le podria pasar si yo no era capza de dar a conocer la situacion y enfrentarla, al final la institucion ya sabbia algo de la manera de obrar de la señora, pero por el contrato que tenia no la podian distituir de su cargo, pero lograron frenar su manera de actuar, el año siguiente fue paz en ese hogar y no hubo atropellos, tambien se debio que ese año siguiente me imagino yo se pensionaba y por ello tambien su cambio",#descubriendo fortalezas,Orgullo,Única vez,Aprendizaje y crecimiento.,0,0,1,0,0,0,0,0,0,Agentes educativos,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo.,1,0,0,0,0,0,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,121633066,eb823fcc-0164-4eae-a970-c4125e0f44ad,2020-09-11T21:47:13,,6,FEMSA,2,am
2020-09-11T20:57:19.469-05:00,2020-09-11T21:19:14.366-05:00,2020-09-10,Sí,2020-09-11,Antioquia,,FAN modalidad familiar,"Mi experiencia significativa se basa en mi trabajo que realice en un CDI un dia entre al aula de clases con el objetivo de trabajar el tema, yo cuido mi cuerpo, se realizaron actividades con los niños, niñas  entre las edades de  3 a 5 años donde se hace enfasis en los cuidados del cuerpo, todos los niños niñas indagaban frente al tema cuando se paso a la actividad del dibujo una de las niñas me manifesto  que ella queria dibujar un pene cuando se le pregunto  el por que, la niña expreso que ella queria que yo conociera el pene del padrastro que era muy grandote, era un indicador de una situación cuando se  realizo las investigaciones la niña manifesto que el padrastro la obligaba  a darle besos en su pene por lo cual se activo la ruta y  la niña de 4 años y una de 10 fueron retirados y se restablecio sus derechos donde se le brindo los cuidados pertinentes fue para mi una experiencia que marco mi vida, hoy las niñas viven con su abuela y estan hermosas, cambiaron mucho,  me da alegria  verlas bien y alejadas de el entorno negativo de una madre negligente. Una experiencia que nunca olvidare",La niña de mirada triste,Tranquilidad,De vez en cuando,Otro,0,0,0,0,0,0,0,0,1,Niños/niñas,"Derechos de los niños, niñas",Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.",1,0,0,0,0,0,Trabajo Colaborativo. Resolución de problemas. Vida y Carrera.,1,0,0,1,0,0,0,1,Dar cumplimiento a los criterios de calidad de la educación inicial en el marco de la atención integral.,121644432,5906c5ce-f873-4ba9-943a-6bb14c494e72,2020-09-12T02:19:16,,7,FEMSA,2,am
2020-09-12T18:50:03.586-05:00,2020-09-12T18:55:01.955-05:00,2020-09-11,Sí,2020-09-12,Antioquia,,Buen comienzo Antioquía,Un día bunabmadre me compartió que había venido violada en se niñez por su hermano,#ponermeenloszapatosdelotro,Impotencia ,Todo el tiempo,La comunidad y las relaciones. Crecimiento personal y logros.,1,0,0,0,0,0,0,1,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.",1,0,0,0,0,0,Trabajo Colaborativo. Resolución de problemas. Vida y Carrera.,1,0,0,1,0,0,0,1,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,121819899,56d5f711-7879-4bbf-9e57-19b75db8928a,2020-09-12T23:55:03,,8,FEMSA,2,am
2020-09-13T08:29:24.459-05:00,2020-09-13T08:51:11.320-05:00,2020-09-12,Sí,2020-09-13,Antioquia,,CORPORACION LATINA,"Hay momentos magicos e inolvidables, cuando conocí a Manuela, una pequeña de 5 años, con un cromosoma extra, el cromosoma del amor.Durante esta epoca de asilamiento, se han venido acompañando a la familia a traves de un proceso de llamadas telefonicas, en el que se trabajan 14 practicas, una de ellas el lavado de mano antes y despues de realizar diversas actividades.Ha sido maravilloso ver como Manuela ha aprendido,sus padres le organizaron un lugar de la casa con agua,jabon, una toalla y ella despues de jugar con sus vecinos, los invita a lavar los los juguetes, o despues de jugar en el patio de la casa, los toma de la mano y los lleva a ese espacio y ambos se lavan sus manos.Es gratificante ver a Manuela como un simbolo de Esperanza, ella no es un heroe, ni ha pedido serlo, es solo una niña con sindrome de Down, ella podria ser tu hija o la mia, Manuela es Esperanza.",#ManuelateenseñaentiemposdeCoronavirus,Motivación,De vez en cuando,Desarrollo general del estudiante.,0,0,0,0,0,0,1,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo. Manejo de la Información y Comunicación. Creatividad e Innovación.,1,0,0,0,0,1,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,121969055,79cb8a6e-826d-442d-916f-f03e5dd4e75a,2020-09-13T13:51:12,,9,FEMSA,2,am
2020-09-13T15:26:00.165-05:00,2020-09-13T15:44:20.005-05:00,2020-09-12,Sí,2020-09-13,Antioquia,,GIAJ,"Mi historia es de suerte.... En un año donde nadie esperaba mucho, para mí fue una gran oportunidad laboral, con cambios a nivel personal también y con logros de objetivos aplazados durante años. No lo niego no ha sido fácil, se debe aprender y desaprender, también trabajar largas jornadas; pero finalmente se ven los resultados, y se proyecta un buen y destacado año 2021. Mi historia no es mía sola, mi familia, mis amigos, y compañeros de trabajo, hacen parte también de ella.",#unañoconsuerte,Motivación,De vez en cuando,Crecimiento personal y logros.,0,0,0,0,0,0,0,1,0,Otro,mi entorno,Reflexioné y aprendí algo nuevo,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Vida y Carrera.,0,0,0,0,0,0,0,1,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,122040831,8a73ffe5-daab-47d1-9b39-ca9df7bbf20c,2020-09-13T20:44:18,,10,FEMSA,2,am
